Component,Origin,License,Copyright
file,Dockerfile_buster,MIT,"Docker, Inc."
file,docker-php-ext-configure,MIT,"Docker, Inc."
file,docker-php-ext-enable,MIT,"Docker, Inc."
file,docker-php-ext-install,MIT,"Docker, Inc."
file,docker-php-source,MIT,"Docker, Inc."
file,mpack.c,MIT,Nicholas Fraser
file,mpack.h,MIT,Nicholas Fraser
file,mt19937-64.c,BSD-3-Clause,Takuji Nishimura and Makoto Matsumoto
file,mt19937-64.h,BSD-3-Clause,Takuji Nishimura and Makoto Matsumoto
file,vendor_stdatomic.h,2-Clause BSD,"Ed Schouten, David Chisnall"
